D,NN_E_s0.05,Num_E_s0.05,NN_E_s0.10,Num_E_s0.10,NN_E_s0.15,Num_E_s0.15,NN_E_s0.20,Num_E_s0.20,NN_E_s0.25,Num_E_s0.25
2.34000000e+00,1.11236167e+00,1.11577411e+00,1.35168266e+00,1.36838900e+00,1.46407521e+00,1.48151666e+00,1.53383231e+00,1.55501451e+00,1.58303154e+00,1.59944933e+00
2.36000000e+00,1.09041882e+00,1.09424114e+00,1.32513881e+00,1.34203370e+00,1.43537796e+00,1.45297027e+00,1.50380182e+00,1.52503273e+00,1.55206776e+00,1.56859500e+00
2.38000000e+00,1.06893849e+00,1.07313654e+00,1.29916084e+00,1.31620492e+00,1.40730083e+00,1.42499643e+00,1.47442520e+00,1.49565416e+00,1.52176976e+00,1.53836273e+00
2.40000000e+00,1.04790831e+00,1.05245096e+00,1.27373362e+00,1.29089099e+00,1.37982333e+00,1.39758232e+00,1.44567788e+00,1.46686521e+00,1.49213219e+00,1.50873843e+00
2.42000000e+00,1.02731991e+00,1.03217529e+00,1.24884987e+00,1.26608054e+00,1.35293376e+00,1.37071547e+00,1.41754663e+00,1.43865265e+00,1.46312773e+00,1.47970841e+00
2.44000000e+00,1.00716388e+00,1.01230066e+00,1.22449684e+00,1.24176252e+00,1.32661581e+00,1.34438373e+00,1.39001584e+00,1.41100361e+00,1.43474567e+00,1.45125934e+00
2.46000000e+00,9.87427056e-01,9.92818434e-01,1.20065129e+00,1.21792615e+00,1.30085921e+00,1.31857532e+00,1.36307502e+00,1.38390557e+00,1.40697014e+00,1.42337826e+00
2.48000000e+00,9.68103886e-01,9.73720191e-01,1.17731464e+00,1.19456095e+00,1.27564430e+00,1.29327873e+00,1.33670378e+00,1.35734636e+00,1.37978280e+00,1.39605257e+00
2.50000000e+00,9.49182451e-01,9.54997727e-01,1.15446126e+00,1.17165672e+00,1.25096166e+00,1.26848277e+00,1.31088853e+00,1.33131412e+00,1.35317385e+00,1.36926999e+00
2.52000000e+00,9.30651128e-01,9.36643043e-01,1.13209069e+00,1.14920350e+00,1.22679675e+00,1.24417655e+00,1.28561711e+00,1.30579731e+00,1.32712388e+00,1.34301859e+00
2.54000000e+00,9.12505329e-01,9.18648344e-01,1.11018407e+00,1.12719161e+00,1.20314002e+00,1.22034946e+00,1.26087499e+00,1.28078469e+00,1.30161822e+00,1.31728674e+00
2.56000000e+00,8.94733965e-01,9.01006028e-01,1.08873248e+00,1.10561161e+00,1.17997336e+00,1.19699116e+00,1.23664999e+00,1.25626532e+00,1.27664781e+00,1.29206312e+00
2.58000000e+00,8.77329051e-01,8.83708681e-01,1.06772947e+00,1.08445430e+00,1.15729046e+00,1.17409158e+00,1.21292973e+00,1.23222855e+00,1.25219750e+00,1.26733670e+00
2.60000000e+00,8.60280335e-01,8.66749074e-01,1.04715431e+00,1.06371070e+00,1.13507307e+00,1.15164092e+00,1.18970013e+00,1.20866398e+00,1.22825539e+00,1.24309675e+00
2.62000000e+00,8.43583286e-01,8.50120152e-01,1.02700758e+00,1.04337207e+00,1.11331999e+00,1.12962960e+00,1.16695213e+00,1.18556150e+00,1.20480692e+00,1.21933280e+00
2.64000000e+00,8.27228606e-01,8.33815034e-01,1.00727022e+00,1.02342989e+00,1.09201086e+00,1.10804830e+00,1.14466977e+00,1.16291126e+00,1.18184221e+00,1.19603466e+00
2.66000000e+00,8.11205387e-01,8.17827002e-01,9.87939477e-01,1.00387583e+00,1.07113767e+00,1.08688795e+00,1.12284398e+00,1.14070364e+00,1.15934980e+00,1.17319241e+00
2.68000000e+00,7.95510709e-01,8.02149503e-01,9.69002604e-01,9.84701795e-01,1.05069196e+00,1.06613967e+00,1.10146630e+00,1.11892927e+00,1.13731277e+00,1.15079634e+00
2.70000000e+00,7.80134141e-01,7.86776138e-01,9.50451434e-01,9.65899861e-01,1.03065944e+00,1.04579482e+00,1.08052111e+00,1.09757901e+00,1.11572635e+00,1.12883703e+00
