D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
1.60000000e+00,1.34990687e+00,1.33361529e+00,2.09001707e+00,2.09168462e+00,2.48000504e+00,2.46746139e+00,2.63947666e+00,2.58209779e+00,2.69728405e+00,2.60644146e+00
1.62000000e+00,1.33981337e+00,1.32409847e+00,2.07266571e+00,2.07413007e+00,2.45835203e+00,2.44413428e+00,2.61594787e+00,2.55625169e+00,2.67305031e+00,2.57972065e+00
1.64000000e+00,1.32975758e+00,1.31461329e+00,2.05546609e+00,2.05670633e+00,2.43693836e+00,2.42106358e+00,2.59269985e+00,2.53074437e+00,2.64911353e+00,2.55338017e+00
1.66000000e+00,1.31974047e+00,1.30516034e+00,2.03841627e+00,2.03941276e+00,2.41575919e+00,2.39824573e+00,2.56972631e+00,2.50556966e+00,2.62546688e+00,2.52741227e+00
1.68000000e+00,1.30976293e+00,1.29574020e+00,2.02151433e+00,2.02224872e+00,2.39480983e+00,2.37567719e+00,2.54702120e+00,2.48072149e+00,2.60210372e+00,2.50180940e+00
1.70000000e+00,1.29982584e+00,1.28635344e+00,2.00475841e+00,2.00521356e+00,2.37408575e+00,2.35335452e+00,2.52457866e+00,2.45619401e+00,2.57901768e+00,2.47656422e+00
1.72000000e+00,1.28992999e+00,1.27700059e+00,1.98814664e+00,1.98830662e+00,2.35358257e+00,2.33127434e+00,2.50239304e+00,2.43198147e+00,2.55620260e+00,2.45166961e+00
1.74000000e+00,1.28007617e+00,1.26768218e+00,1.97167723e+00,1.97152725e+00,2.33329601e+00,2.30943332e+00,2.48045888e+00,2.40807829e+00,2.53365255e+00,2.42711866e+00
1.76000000e+00,1.27026510e+00,1.25839871e+00,1.95534838e+00,1.95487478e+00,2.31322197e+00,2.28782823e+00,2.45877090e+00,2.38447903e+00,2.51136178e+00,2.40290462e+00
1.78000000e+00,1.26049745e+00,1.24915066e+00,1.93915836e+00,1.93834854e+00,2.29335644e+00,2.26645586e+00,2.43732400e+00,2.36117837e+00,2.48932475e+00,2.37902095e+00
1.80000000e+00,1.25077387e+00,1.23993851e+00,1.92310543e+00,1.92194786e+00,2.27369554e+00,2.24531308e+00,2.41611325e+00,2.33817114e+00,2.46753610e+00,2.35546130e+00
1.82000000e+00,1.24109498e+00,1.23076272e+00,1.90718791e+00,1.90567206e+00,2.25423552e+00,2.22439682e+00,2.39513387e+00,2.31545228e+00,2.44599066e+00,2.33221945e+00
1.84000000e+00,1.23146134e+00,1.22162371e+00,1.89140415e+00,1.88952045e+00,2.23497273e+00,2.20370406e+00,2.37438125e+00,2.29301686e+00,2.42468343e+00,2.30928937e+00
1.86000000e+00,1.22187350e+00,1.21252192e+00,1.87575253e+00,1.87349236e+00,2.21590362e+00,2.18323184e+00,2.35385090e+00,2.27086007e+00,2.40360955e+00,2.28666521e+00
1.88000000e+00,1.21233195e+00,1.20345775e+00,1.86023144e+00,1.85758710e+00,2.19702476e+00,2.16297725e+00,2.33353851e+00,2.24897721e+00,2.38276435e+00,2.26434123e+00
1.90000000e+00,1.20283718e+00,1.19443158e+00,1.84483932e+00,1.84180397e+00,2.17833281e+00,2.14293744e+00,2.31343987e+00,2.22736370e+00,2.36214329e+00,2.24231188e+00
1.92000000e+00,1.19338963e+00,1.18544380e+00,1.82957463e+00,1.82614227e+00,2.15982454e+00,2.12310959e+00,2.29355092e+00,2.20601504e+00,2.34174198e+00,2.22057172e+00
1.94000000e+00,1.18398971e+00,1.17649478e+00,1.81443588e+00,1.81060133e+00,2.14149680e+00,2.10349096e+00,2.27386773e+00,2.18492686e+00,2.32155616e+00,2.19911547e+00
1.96000000e+00,1.17463781e+00,1.16758485e+00,1.79942158e+00,1.79518043e+00,2.12334653e+00,2.08407884e+00,2.25438647e+00,2.16409488e+00,2.30158173e+00,2.17793798e+00
1.98000000e+00,1.16533430e+00,1.15871436e+00,1.78453028e+00,1.77987888e+00,2.10537076e+00,2.06487055e+00,2.23510344e+00,2.14351492e+00,2.28181468e+00,2.15703421e+00
2.00000000e+00,1.15607953e+00,1.14988362e+00,1.76976057e+00,1.76469597e+00,2.08756660e+00,2.04586350e+00,2.21601506e+00,2.12318290e+00,2.26225114e+00,2.13639928e+00
2.02000000e+00,1.14687379e+00,1.14109295e+00,1.75511105e+00,1.74963101e+00,2.06993125e+00,2.02705511e+00,2.19711783e+00,2.10309481e+00,2.24288738e+00,2.11602839e+00
2.04000000e+00,1.13771739e+00,1.13234264e+00,1.74058035e+00,1.73468329e+00,2.05246198e+00,2.00844286e+00,2.17840837e+00,2.08324676e+00,2.22371974e+00,2.09591690e+00
2.06000000e+00,1.12861060e+00,1.12363298e+00,1.72616713e+00,1.71985211e+00,2.03515613e+00,1.99002425e+00,2.15988341e+00,2.06363492e+00,2.20474469e+00,2.07606025e+00
2.08000000e+00,1.11955367e+00,1.11496424e+00,1.71187007e+00,1.70513676e+00,2.01801112e+00,1.97179686e+00,2.14153976e+00,2.04425554e+00,2.18595882e+00,2.05645401e+00
2.10000000e+00,1.11054682e+00,1.10633667e+00,1.69768790e+00,1.69053653e+00,2.00102444e+00,1.95375827e+00,2.12337431e+00,2.02510498e+00,2.16735880e+00,2.03709383e+00
2.12000000e+00,1.10159028e+00,1.09775052e+00,1.68361934e+00,1.67605072e+00,1.98419364e+00,1.93590613e+00,2.10538407e+00,2.00617966e+00,2.14894140e+00,2.01797549e+00
